0,BiasAdd,16016,16016,4004,20020,0,1281780.5,0,0,0,0,1281780.5,8.603131082622995e-08,56161.23970736291,0.0712947224965738,0.35647361248286896,0.0
1,MatMul,3072,16016,768768,771840,613440.0,229056.0,0,0,0,0,842496.0,5.6547150815490974e-08,36913.980052352505,20.825930959211398,20.90915146254491,239.625
2,Relu,3072,3072,0,3072,0,0,1536,0,0,0,1536,1.0309416739378482e-10,67.29987247466273,0.0,45.64644607843137,0.0
3,BiasAdd,3072,3072,768,3840,0,245856.0,0,0,0,0,245856.0,1.6501510168467684e-08,10772.185837975703,0.0712947224965738,0.35647361248286896,0.0
4,MatMul,6144,3072,294912,301056,368640.0,221184.0,0,0,0,0,589824.0,3.958816027921337e-08,25843.15103027049,11.411611519607844,11.64935342626634,144.0
7,Relu,6144,6144,0,6144,0,0,3072,0,0,0,3072,2.0618833478756964e-10,134.59974494932547,0.0,45.64644607843137,0.0
8,BiasAdd,6144,6144,1536,7680,0,491712.0,0,0,0,0,491712.0,3.300302033693537e-08,21544.371675951406,0.0712947224965738,0.35647361248286896,0.0
9,MatMul,65536,6144,6291456,6356992,21495808.0,18350080.0,0,0,0,0,39845888.0,2.6744001610846366e-06,1745848.4251560508,3.6036667956656343,3.6412049914538183,8396.8
13,Relu,262144,262144,0,262144,0,0,131072,0,0,0,131072,8.797368950936304e-09,5742.922451171219,0.0,45.646446078431374,0.0
14,BiasAdd,262144,262144,256,262400,0,20488.0,0,0,0,0,20488.0,1.3751258473723068e-09,897.6821531646419,0.2851788899862952,292.3083622359526,0.0
15,Conv2D,262144,262144,409600,671744,26521600.0,26316800.0,0,0,0,0,52838400.0,3.546439358346198e-06,2315115.613128398,0.17692420960632313,0.29015570375436994,10360.0
18,Relu,1048576,1048576,0,1048576,0,0,524288,0,0,0,524288,3.518947580374522e-08,22971.689804684876,0.0,45.646446078431374,0.0
19,BiasAdd,1048576,1048576,256,1048832,0,40976.0,0,0,0,0,40976.0,2.7502516947446137e-09,1795.3643063292839,0.1425894449931476,584.1889561369256,0.0
20,Conv2D,49152,1048576,19200,68352,4929600.0,4920000.0,0,0,0,0,9849600.0,6.610913484126452e-07,431560.43224377476,0.04448971352673623,0.15838338015518097,1925.625
total filter bytes, 7790756.0
total in feature bytes, 3041936.0
total out feature bytes, 3991840.0
total compute, 106706988.5
total latency, 7.162023525068797e-06
,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180,182,184,186,188,190,192,194,196,198,200,202,204,206,208,210,212,214,216,218,220,222,224,226,228,230,232,234,236,238,240,242,244,246,248,250,252,254
