3.076923, 
2.697521, 
1.969531, 
1.052632, 
4.324324, 
4.900903, 
5.169313, 
5.306122, 
5.365152, 
5.368281, 
5.324914, 
5.238046, 
5.106383, 
4.924863, 
4.684182, 
4.369340, 
3.956713, 
3.060667, 
2.101636, 
1.081081, 
4.812030, 
5.597625, 
6.031380, 
6.321244, 
6.533612, 
6.697950, 
6.829802, 
6.938312, 
7.029289, 
7.106629, 
7.173066, 
7.230581, 
7.280649, 
7.324395, 
7.362692, 
7.396226, 
7.425546, 
7.451092, 
7.473219, 
7.492220, 
7.508329, 
7.521739, 
7.532605, 
7.541050, 
7.547170, 
7.551038, 
7.552704, 
7.552201, 
7.549539, 
7.544714, 
7.537703, 
7.528466, 
7.516945, 
7.503064, 
7.486725, 
7.467811, 
7.446180, 
7.421665, 
7.394066, 
7.363153, 
7.328654, 
7.290252, 
7.247578, 
7.200197, 
7.147599, 
7.089183, 
7.024234, 
6.951902, 
6.871166, 
6.780789, 
6.679264, 
6.564736, 
6.434894, 
6.286824, 
6.116807, 
5.920011, 
5.690052, 
5.418315, 
5.092889, 
4.696821, 
4.205149, 
3.197953, 
2.161700, 
1.095890, 
