1,MatMul,4096,134832,138067968,138072064,60404736.0,43146240.0,0,0,0,0,103550976.0,6.950196389019397e-06,4537088.202751863,30.430964052287578,30.43186683394334,23595.6
6,Sub,4096,4096,4,4100,0,1024,0,0,0,0,1024,6.872944492918988e-11,44.86658164977515,0.08915321499693628,91.38204537185969,0.0
7,Mean,4096,4,4,4100,0,1024,0,0,0,0,1024,6.872944492918988e-11,44.86658164977515,0.08915321499693628,91.38204537185969,0.0
8,Mean,4096,4,4,4100,0,1024,0,0,0,0,1024,6.872944492918988e-11,44.86658164977515,0.08915321499693628,91.38204537185969,0.0
10,Sub,4096,4096,4,4100,0,1024,0,0,0,0,1024,6.872944492918988e-11,44.86658164977515,0.08915321499693628,91.38204537185969,0.0
12,MatMul,16384,4096,16777216,16793600,3149824.0,1052672.0,0,0,0,0,4202496.0,2.8206564198939526e-07,184132.45109067723,91.1149333027558,91.20391272980928,1230.4
12,MatMul,4096,4096,4194304,4198400,787456.0,263168.0,0,0,0,0,1050624.0,7.051641049734881e-08,46033.11277266931,91.1149333027558,91.20391272980928,307.6
13,MatMul,4096,4096,4194304,4198400,787456.0,263168.0,0,0,0,0,1050624.0,7.051641049734881e-08,46033.11277266931,91.1149333027558,91.20391272980928,307.6
15,MatMul,4096,4096,4194304,4198400,787456.0,263168.0,0,0,0,0,1050624.0,7.051641049734881e-08,46033.11277266931,91.1149333027558,91.20391272980928,307.6
15,MatMul,16384,4096,16777216,16793600,3149824.0,1052672.0,0,0,0,0,4202496.0,2.8206564198939526e-07,184132.45109067723,91.1149333027558,91.20391272980928,1230.4
16,MatMul,4096,4096,4194304,4198400,787456.0,263168.0,0,0,0,0,1050624.0,7.051641049734881e-08,46033.11277266931,91.1149333027558,91.20391272980928,307.6
17,BatchMatMul,64,4096,4096,4160,784.0,272.0,0,0,0,0,1056.0,7.087724008322706e-11,46.26866232633063,88.52644087938205,89.90966651812239,0.30625
17,Relu,16384,16384,0,16384,0,0,8192,0,0,0,8192,5.49835559433519e-10,358.9326531982012,0.0,45.646446078431374,0.0
18,BatchMatMul,64,4096,4096,4160,784.0,272.0,0,0,0,0,1056.0,7.087724008322706e-11,46.26866232633063,88.52644087938205,89.90966651812239,0.30625
18,MatMul,4096,4096,4194304,4198400,787456.0,263168.0,0,0,0,0,1050624.0,7.051641049734881e-08,46033.11277266931,91.1149333027558,91.20391272980928,307.6
18,MatMul,16384,4096,16777216,16793600,3149824.0,1052672.0,0,0,0,0,4202496.0,2.8206564198939526e-07,184132.45109067723,91.1149333027558,91.20391272980928,1230.4
19,MatMul,4096,4096,4194304,4198400,787456.0,263168.0,0,0,0,0,1050624.0,7.051641049734881e-08,46033.11277266931,91.1149333027558,91.20391272980928,307.6
20,Softmax,64,64,0,64,1,1,0,0,2,0,4,2.6847439425464796e-13,0.17526008456943418,0.0,365.171568627451,0.000390625
20,Relu,16384,16384,0,16384,0,0,8192,0,0,0,8192,5.49835559433519e-10,358.9326531982012,0.0,45.646446078431374,0.0
20,MatMul,4096,16384,16777216,16781312,3146752.0,1049600.0,0,0,0,0,4196352.0,2.8165326531982013e-07,183863.25160077857,91.24833730466321,91.27061473076297,1229.2
20,BatchMatMul,64,4096,4096,4160,784.0,272.0,0,0,0,0,1056.0,7.087724008322706e-11,46.26866232633063,88.52644087938205,89.90966651812239,0.30625
21,MatMul,4096,4096,4194304,4198400,787456.0,263168.0,0,0,0,0,1050624.0,7.051641049734881e-08,46033.11277266931,91.1149333027558,91.20391272980928,307.6
21,Softmax,64,64,0,64,1,1,0,0,2,0,4,2.6847439425464796e-13,0.17526008456943418,0.0,365.171568627451,0.000390625
21,MatMul,4096,4096,4194304,4198400,787456.0,263168.0,0,0,0,0,1050624.0,7.051641049734881e-08,46033.11277266931,91.1149333027558,91.20391272980928,307.6
21,MatMul,16384,4096,16777216,16793600,3149824.0,1052672.0,0,0,0,0,4202496.0,2.8206564198939526e-07,184132.45109067723,91.1149333027558,91.20391272980928,1230.4
21,BatchMatMul,64,4096,4096,4160,784.0,272.0,0,0,0,0,1056.0,7.087724008322706e-11,46.26866232633063,88.52644087938205,89.90966651812239,0.30625
22,MatMul,4096,4096,4194304,4198400,787456.0,263168.0,0,0,0,0,1050624.0,7.051641049734881e-08,46033.11277266931,91.1149333027558,91.20391272980928,307.6
22,MatMul,4096,4096,4194304,4198400,787456.0,263168.0,0,0,0,0,1050624.0,7.051641049734881e-08,46033.11277266931,91.1149333027558,91.20391272980928,307.6
22,BatchMatMul,4096,64,4096,8192,784.0,272.0,0,0,0,0,1056.0,7.087724008322706e-11,46.26866232633063,88.52644087938205,177.0528817587641,0.30625
23,BatchMatMul,64,4096,4096,4160,784.0,272.0,0,0,0,0,1056.0,7.087724008322706e-11,46.26866232633063,88.52644087938205,89.90966651812239,0.30625
23,Relu,16384,16384,0,16384,0,0,8192,0,0,0,8192,5.49835559433519e-10,358.9326531982012,0.0,45.646446078431374,0.0
23,MatMul,4096,16384,16777216,16781312,3146752.0,1049600.0,0,0,0,0,4196352.0,2.8165326531982013e-07,183863.25160077857,91.24833730466321,91.27061473076297,1229.2
23,BatchMatMul,4096,64,4096,8192,784.0,272.0,0,0,0,0,1056.0,7.087724008322706e-11,46.26866232633063,88.52644087938205,177.0528817587641,0.30625
23,Softmax,64,64,0,64,1,1,0,0,2,0,4,2.6847439425464796e-13,0.17526008456943418,0.0,365.171568627451,0.000390625
