# Job id 0
# Devices visible to TensorFlow: [_DeviceAttributes(/job:localhost/replica:0/task:0/device:CPU:0, CPU, 268435456, 13946799777528845769), _DeviceAttributes(/job:localhost/replica:0/task:0/device:XLA_GPU:0, XLA_GPU, 17179869184, 2165413304739331498), _DeviceAttributes(/job:localhost/replica:0/task:0/device:XLA_CPU:0, XLA_CPU, 17179869184, 14111624892192816275), _DeviceAttributes(/job:localhost/replica:0/task:0/device:GPU:0, GPU, 11914978919, 15445558029187297479), _DeviceAttributes(/job:localhost/replica:0/task:0/device:GPU:1, GPU, 11914978919, 857864495103873361)]
# Loading hparams from /tmp/nmt_model/hparams
# Vocab file /tmp/nmt_data/vocab.vi exists
# Vocab file /tmp/nmt_data/vocab.en exists
  saving hparams to /tmp/nmt_model/hparams
  saving hparams to /tmp/nmt_model/best_bleu/hparams
  attention=
  attention_architecture=standard
  avg_ckpts=False
  batch_size=128
  beam_width=0
  best_bleu=6.24029126244
  best_bleu_dir=/tmp/nmt_model/best_bleu
  check_special_token=True
  colocate_gradients_with_ops=True
  coverage_penalty_weight=0.0
  decay_scheme=
  dev_prefix=/tmp/nmt_data/tst2012
  dropout=0.2
  embed_prefix=None
  encoder_type=uni
  eos=</s>
  epoch_step=527
  forget_bias=1.0
  infer_batch_size=32
  infer_mode=greedy
  init_op=uniform
  init_weight=0.1
  language_model=False
  learning_rate=1.0
  length_penalty_weight=0.0
  log_device_placement=False
  max_gradient_norm=5.0
  max_train=0
  metrics=[u'bleu']
  num_buckets=5
  num_dec_emb_partitions=0
  num_decoder_layers=2
  num_decoder_residual_layers=0
  num_embeddings_partitions=0
  num_enc_emb_partitions=0
  num_encoder_layers=2
  num_encoder_residual_layers=0
  num_gpus=1
  num_inter_threads=0
  num_intra_threads=0
  num_keep_ckpts=5
  num_sampled_softmax=0
  num_train_steps=12000
  num_translations_per_input=1
  num_units=128
  optimizer=sgd
  out_dir=/tmp/nmt_model
  output_attention=True
  override_loaded_hparams=False
  pass_hidden_state=True
  random_seed=None
  residual=False
  sampling_temperature=0.0
  share_vocab=False
  sos=<s>
  src=vi
  src_embed_file=
  src_max_len=50
  src_max_len_infer=None
  src_vocab_file=/tmp/nmt_data/vocab.vi
  src_vocab_size=7709
  steps_per_external_eval=None
  steps_per_stats=100
  subword_option=
  test_prefix=/tmp/nmt_data/tst2013
  tgt=en
  tgt_embed_file=
  tgt_max_len=50
  tgt_max_len_infer=None
  tgt_vocab_file=/tmp/nmt_data/vocab.en
  tgt_vocab_size=17191
  time_major=True
  train_prefix=/tmp/nmt_data/train
  unit_type=lstm
  use_char_encode=False
  vocab_prefix=/tmp/nmt_data/vocab
  warmup_scheme=t2t
  warmup_steps=0
# Creating train graph ...
# Build a basic encoder
  num_layers = 2, num_residual_layers=0
  cell 0  LSTM, forget_bias=1  DropoutWrapper, dropout=0.2   DeviceWrapper, device=/gpu:0
  cell 1  LSTM, forget_bias=1  DropoutWrapper, dropout=0.2   DeviceWrapper, device=/gpu:0
  cell 0  LSTM, forget_bias=1  DropoutWrapper, dropout=0.2   DeviceWrapper, device=/gpu:0
  cell 1  LSTM, forget_bias=1  DropoutWrapper, dropout=0.2   DeviceWrapper, device=/gpu:0
1,MatMul,4,68764,8801792,8801796,6601472,2364352.0,0,0,0,0,8965824.0,6.01773541848e-07,392837.768119,22.4056664464,22.4056766287,2578.7
4,Prod,8,4,4,12,2,0,0,0,0,0,2,1.34237197127e-13,0.0876300422847,45.6464460784,136.939338235,0.00078125
4,Prod,4,4,4,8,1,0,0,0,0,0,1,6.71185985637e-14,0.0438150211424,91.2928921569,182.585784314,0.000390625
10,Mul,512,512,512,1024,128,0,0,0,0,0,128,8.59118061615e-12,5.60832270622,91.2928921569,182.585784314,0.05
11,Tanh,512,512,0,512,0,0,0,0,0,128,128,8.59118061615e-12,5.60832270622,0.0,91.2928921569,0.0
11,Sigmoid,512,512,0,512,128,128,0,0,128,0,384,2.57735418484e-11,16.8249681187,0.0,30.4309640523,0.05
12,Add,512,512,512,1024,0,163904.0,0,0,0,0,163904.0,1.1001006779e-08,7181.45722532,0.0712947224966,0.142589444993,0.0
13,Mul,512,512,512,1024,128,0,0,0,0,0,128,8.59118061615e-12,5.60832270622,91.2928921569,182.585784314,0.05
13,Mul,512,512,512,1024,128,0,0,0,0,0,128,8.59118061615e-12,5.60832270622,91.2928921569,182.585784314,0.05
13,BiasAdd,2048,2048,2048,4096,0,655616.0,0,0,0,0,655616.0,4.40040271159e-08,28725.8289013,0.0712947224966,0.142589444993,0.0
14,MatMul,1024,2048,524288,525312,458752,84049920.0,0,0,0,0,84508672.0,5.67210363112e-06,3702749.25039,0.141594249177,0.141870800445,179.2
14,Tanh,512,512,0,512,0,0,0,0,0,128,128,8.59118061615e-12,5.60832270622,0.0,91.2928921569,0.0
14,Sigmoid,512,512,0,512,128,128,0,0,128,0,384,2.57735418484e-11,16.8249681187,0.0,30.4309640523,0.05
14,Sigmoid,512,512,0,512,128,128,0,0,128,0,384,2.57735418484e-11,16.8249681187,0.0,30.4309640523,0.05
15,Add,512,512,4,516,0,163904.0,0,0,0,0,163904.0,1.1001006779e-08,7181.45722532,0.000556990019504,0.0718517125161,0.0
16,Mul,512,512,512,1024,128,0,0,0,0,0,128,8.59118061615e-12,5.60832270622,91.2928921569,182.585784314,0.05
18,Mul,512,512,512,1024,128,0,0,0,0,0,128,8.59118061615e-12,5.60832270622,91.2928921569,182.585784314,0.05
19,Sigmoid,512,512,0,512,128,128,0,0,128,0,384,2.57735418484e-11,16.8249681187,0.0,30.4309640523,0.05
19,Tanh,512,512,0,512,0,0,0,0,0,128,128,8.59118061615e-12,5.60832270622,0.0,91.2928921569,0.0
19,Add,512,512,4,516,0,163904.0,0,0,0,0,163904.0,1.1001006779e-08,7181.45722532,0.000556990019504,0.0718517125161,0.0
20,Mul,512,512,4,516,128,0,0,0,0,0,128,8.59118061615e-12,5.60832270622,0.713225719975,92.0061178768,0.05
20,Add,512,512,512,1024,0,163904.0,0,0,0,0,163904.0,1.1001006779e-08,7181.45722532,0.0712947224966,0.142589444993,0.0
21,Mul,512,512,512,1024,128,0,0,0,0,0,128,8.59118061615e-12,5.60832270622,91.2928921569,182.585784314,0.05
21,Mul,512,512,512,1024,128,0,0,0,0,0,128,8.59118061615e-12,5.60832270622,91.2928921569,182.585784314,0.05
